ID;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9;Q10;Q11;Q12;Q13;Q14;Q15;Q16;Q17;Q18;Q19;Q20;Q21;Q22;Q23;Q24;Q25;Q26
10432081764;4;4;3;4;4;3;3;3;4;3;4;3;4;3;5;2;3;3;3;3;3;4;5;4;5;4
10432065931;4;4;4;5;3;4;3;2;3;4;4;2;3;3;5;2;3;4;2;2;4;3;2;5;2;4
10432065836;3;3;4;3;3;4;4;2;3;4;5;3;3;2;4;4;4;4;4;3;3;3;4;2;4;3
10431996089;4;4;5;5;3;4;3;4;4;3;4;4;4;3;4;2;4;5;4;2;2;4;5;5;5;3
10431823143;4;4;4;4;4;4;4;2;4;4;4;4;4;3;5;4;4;4;4;4;4;5;4;2;2;4
10431817947;4;4;4;4;4;5;4;3;4;4;5;4;4;4;4;4;3;4;4;4;4;5;5;5;3;4
10431809799;5;4;4;4;4;4;4;3;3;4;4;4;3;4;5;4;4;4;4;3;3;3;4;4;4;4
10431802993;4;5;5;5;3;3;4;3;4;4;4;3;5;3;5;3;2;2;2;4;2;3;4;3;5;4
10431785671;3;5;5;5;1;4;4;2;3;2;5;2;4;2;5;4;4;4;3;4;4;4;5;3;4;4
10431765247;2;1;3;3;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;4
10431759139;4;5;5;5;4;4;4;4;4;5;4;5;5;5;5;5;5;5;5;5;4;5;5;5;4;5
10431727479;1;1;3;2;3;5;3;1;2;4;2;1;3;2;4;2;4;4;3;3;3;3;3;2;2;3
10431724583;5;3;5;4;4;4;4;3;4;4;4;3;4;5;5;5;5;5;4;4;3;4;5;3;4;5
10431711908;4;4;2;2;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;3;3;4;4;3;4
10431701550;3;3;4;4;3;4;3;1;2;4;5;3;3;3;4;2;4;4;3;2;3;2;3;5;2;3
10431700660;4;4;5;4;4;5;4;3;3;4;5;3;4;3;5;4;4;4;4;5;3;3;2;2;3;4
10431698899;4;3;5;5;4;5;4;4;5;4;4;3;4;4;4;4;4;4;4;4;3;4;5;4;4;4
10431698093;4;4;4;5;4;4;4;2;4;5;5;4;3;4;5;5;5;5;5;5;5;5;5;2;2;4
10431694827;4;4;3;2;3;4;2;4;2;3;4;2;4;3;2;3;4;4;4;4;4;3;4;2;4;3
10431662945;5;5;5;5;4;4;5;3;4;5;5;3;5;3;5;4;4;4;4;3;3;3;4;4;3;4
10431662225;4;4;5;4;3;4;4;3;4;4;4;3;4;3;4;4;4;4;4;4;4;4;4;4;3;4
10431656950;3;3;4;4;3;4;4;3;4;3;4;4;3;3;4;4;4;4;4;3;5;3;3;3;4;4
10431655338;4;4;4;5;3;4;4;3;3;5;5;3;4;3;5;3;5;5;5;4;5;4;2;4;3;5
10431650146;3;3;5;3;3;4;4;3;4;3;4;4;5;3;5;3;3;4;4;4;3;3;3;2;5;4
10431650074;4;3;3;4;3;4;4;4;3;3;4;3;4;4;4;2;4;4;4;4;4;3;3;2;4;4
10431645190;3;4;5;5;4;5;4;2;4;4;5;3;5;4;5;4;5;5;5;4;4;4;5;5;5;5
10431619686;3;3;4;3;4;4;3;3;3;4;4;3;4;3;2;NA;3;4;4;3;3;3;4;4;2;4
10431617366;4;5;5;5;2;2;4;2;3;5;3;3;4;2;5;2;5;5;2;3;2;4;4;2;4;4
10431613448;3;2;3;4;3;3;2;3;4;3;2;3;4;3;4;2;3;3;2;2;2;3;3;4;4;4
10431609875;5;5;3;5;4;4;3;3;5;4;4;5;5;5;5;3;4;4;5;4;5;3;4;3;4;4
10431606358;4;3;5;4;4;4;4;4;5;4;4;5;4;4;5;2;4;4;4;2;2;4;3;5;5;5
10431605749;4;3;5;5;3;3;3;2;2;3;3;4;4;3;5;3;4;4;3;3;5;3;3;4;2;4
10431592800;3;5;5;5;3;4;3;2;3;3;4;3;4;3;4;4;4;4;3;4;4;4;4;3;4;4
10431587890;4;4;5;5;4;4;4;3;3;4;4;3;3;4;5;4;4;4;4;4;4;4;4;4;4;4
10431585782;4;5;5;5;4;4;4;4;4;4;4;3;4;4;4;5;4;4;4;4;4;4;4;4;4;5
10431561746;4;4;5;5;4;5;2;3;4;4;3;3;4;4;5;3;4;3;4;4;4;3;4;4;3;5
10431555663;4;4;4;5;3;4;4;3;4;4;3;4;5;3;5;3;4;3;4;3;2;3;3;3;3;4
10431508768;4;3;2;3;3;5;4;2;4;4;3;3;3;4;4;4;4;4;4;3;3;3;4;4;4;4
10431480943;3;1;1;2;2;2;1;1;3;2;3;2;3;3;3;5;2;2;2;2;3;2;2;NA;2;3
10431480279;4;3;4;5;3;4;4;4;4;4;5;3;5;3;5;3;4;4;4;4;4;4;5;4;4;4
10431477546;4;4;3;4;3;4;3;4;4;3;4;3;4;4;4;4;4;4;3;4;2;4;4;4;4;4
10431452233;3;2;3;3;3;3;3;2;3;3;3;3;3;3;4;4;4;4;4;3;3;3;4;4;3;4
10431447324;4;4;5;5;3;3;2;2;2;3;3;3;4;3;4;2;2;2;2;4;4;4;3;3;2;3
10431434106;3;3;3;2;4;5;4;4;4;5;5;3;4;4;5;NA;5;5;5;5;3;5;4;4;4;4
10431425238;4;4;4;4;4;4;4;2;3;3;4;4;3;3;4;5;4;3;4;3;4;3;5;4;5;4
10431325394;3;4;4;3;3;4;4;4;5;3;4;4;4;3;5;3;3;4;3;3;3;4;4;3;3;2
10431295134;4;4;3;2;3;4;4;4;NA;3;2;1;2;1;4;2;2;5;2;4;4;4;5;5;5;4
10431083570;5;2;4;4;2;3;4;2;5;2;4;5;5;1;5;2;2;2;4;3;3;3;4;5;4;2
10431081415;4;4;3;4;2;3;2;4;5;3;5;2;5;2;5;3;2;2;4;2;2;2;5;5;5;4
10430970939;4;NA;5;5;4;4;3;2;4;4;5;3;3;3;4;5;4;4;4;4;4;4;5;3;3;5
10430968783;4;5;5;5;3;4;3;3;4;3;4;3;4;3;5;5;4;4;4;3;5;3;4;4;5;4
10430908587;1;3;5;5;3;1;2;3;2;2;5;5;5;5;4;5;2;2;2;3;2;5;2;2;2;1
10430899208;4;4;4;4;5;5;4;4;4;4;4;3;4;4;4;4;3;4;4;5;4;5;4;5;4;4
10430879129;3;3;3;4;4;5;4;3;3;3;5;5;5;4;5;3;4;5;4;5;5;5;5;5;5;4
10430875321;5;4;4;4;3;4;4;4;5;4;4;5;5;3;5;4;5;5;4;3;4;5;5;5;5;5
10430873015;2;2;4;4;2;3;2;3;4;3;2;4;5;4;5;4;4;4;2;2;2;2;5;5;4;2
10430871931;4;5;4;4;4;5;4;2;3;4;4;4;4;4;5;5;5;5;5;5;4;4;5;5;5;5
10430840951;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5
10430829779;4;5;4;5;3;4;4;1;4;4;5;3;4;3;5;3;4;3;4;3;3;3;5;3;4;4
10430807384;4;4;5;5;3;4;2;2;3;2;5;3;4;4;4;2;2;3;4;2;3;5;3;4;4;4
10430800061;3;4;4;5;2;3;4;1;3;3;5;4;4;3;5;3;4;3;2;2;2;2;2;4;3;4
10430799975;3;1;5;4;2;2;5;3;1;5;5;2;5;5;5;2;5;5;2;2;3;2;2;3;5;3
10430790978;4;3;4;4;3;4;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4;3;3;3;4
10430787828;4;4;3;5;4;4;4;3;3;4;5;4;4;3;5;3;4;4;4;3;4;3;5;4;3;5
10430786467;3;3;4;3;2;3;3;3;3;3;3;3;3;3;4;5;3;3;4;3;3;3;3;2;3;4
10430780342;2;4;5;5;2;3;3;3;4;3;2;1;2;2;4;4;2;2;3;2;2;3;4;3;4;4
10430778231;1;1;2;1;1;2;2;2;2;1;2;1;1;1;1;2;5;5;5;5;5;5;5;5;5;4
10430748046;3;3;3;4;4;4;3;2;3;3;3;3;4;3;5;5;4;3;4;4;2;3;4;5;4;4
10430738851;3;4;3;3;2;2;3;2;2;3;4;2;3;2;4;4;4;4;3;4;3;2;4;4;5;3
10430726856;2;2;1;1;2;2;4;3;4;2;3;1;5;2;2;2;2;2;2;2;2;3;3;4;2;2
10430709291;4;4;4;4;3;5;3;3;4;4;4;5;4;3;4;4;4;4;5;4;3;4;4;4;4;5
10430704335;4;4;5;5;4;5;4;3;4;4;5;4;4;5;5;4;5;5;5;4;4;4;4;4;4;5
10430697118;3;4;4;5;2;4;3;2;2;4;4;3;3;3;4;5;3;3;2;3;2;2;4;4;3;3
10430694004;4;2;3;3;3;3;4;3;4;3;4;5;4;2;4;3;3;4;3;2;2;3;5;4;5;4
10430690663;5;4;5;3;4;4;3;3;2;3;3;4;4;3;3;5;3;4;3;3;3;3;2;4;4;4
10430681272;4;3;3;3;3;3;3;2;3;3;3;3;3;3;4;2;3;3;3;3;2;3;4;4;4;4
10430669337;5;4;5;5;4;4;4;3;4;3;4;5;5;5;5;2;2;2;4;2;2;4;4;4;4;4
10430660175;5;4;4;3;4;5;4;4;4;4;4;3;5;4;5;5;5;5;5;5;5;5;5;5;4;4
10430649284;4;4;4;5;3;3;2;3;5;3;3;5;4;5;5;2;3;3;4;3;4;4;5;4;3;4
10430646515;3;4;5;5;4;5;5;1;3;3;5;5;3;3;5;5;5;5;5;4;4;4;2;3;5;3
10430605540;4;4;5;5;3;5;4;2;4;4;5;3;4;3;5;5;5;4;5;5;4;4;4;3;4;4
10430600405;5;4;4;5;4;4;4;3;3;4;4;4;4;4;5;4;4;4;4;4;3;3;4;4;4;4
10430594077;4;4;5;5;4;5;4;3;3;5;5;5;5;3;5;5;4;4;4;5;4;5;5;3;3;5
10430586602;4;4;4;4;4;4;3;4;4;5;3;5;4;5;5;2;3;4;3;2;3;4;5;5;4;2
10430577946;4;4;2;4;4;5;4;4;4;3;3;4;3;4;4;5;4;4;4;4;4;4;4;4;4;4
10430569669;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;2;2;3;3
10430568688;1;4;5;4;1;1;5;1;2;1;2;1;2;1;5;3;5;5;2;2;2;2;2;2;2;3
10430564992;4;4;4;5;3;5;4;3;4;5;5;3;5;4;5;2;5;5;4;4;4;3;5;4;5;4
10430560574;4;4;5;5;3;4;4;3;3;3;4;3;4;3;5;4;4;4;4;4;3;3;5;2;4;4
10430553519;4;4;5;5;4;4;4;2;3;4;4;3;3;4;5;5;4;4;5;5;3;5;5;4;5;3
10430544161;3;4;4;5;3;4;4;2;2;3;5;3;5;3;3;2;4;4;3;2;3;3;3;3;2;4
10430540012;4;4;5;4;4;4;4;3;3;3;4;4;4;4;5;4;4;4;4;4;4;4;5;4;5;4
10430531719;5;5;5;2;4;5;4;2;3;5;5;5;4;5;5;5;5;5;5;3;3;5;5;5;5;5
10430529071;4;5;5;5;3;4;3;3;3;4;5;3;4;3;5;5;5;5;5;3;3;3;5;5;4;1
10430528428;4;4;3;5;3;4;4;3;3;4;5;4;3;3;5;5;5;5;4;4;3;4;4;4;4;4
10430523214;5;2;2;2;4;5;5;2;5;3;3;5;4;3;4;2;3;4;3;5;2;5;5;5;5;4
10430519788;4;4;5;4;4;5;4;1;1;2;4;5;4;2;4;4;2;5;2;5;4;5;2;2;4;3
10430517821;4;4;4;3;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;5
10430501440;3;4;4;5;3;4;4;4;4;3;4;2;4;2;4;2;4;5;4;5;2;5;2;5;5;2
10430501401;4;2;4;1;2;2;2;3;2;2;3;2;2;2;4;2;2;2;3;3;4;3;2;5;2;4
10430489382;5;5;5;5;4;4;3;4;4;4;5;5;5;5;5;4;4;4;4;4;4;4;5;4;3;4
10430487419;5;5;5;4;4;4;4;3;4;5;4;4;5;4;5;5;5;5;4;5;4;4;5;5;5;5
10430482890;4;4;4;4;3;3;3;4;4;3;3;4;4;3;5;4;4;4;4;3;3;3;5;5;4;4
10430469718;3;3;4;2;3;3;2;3;4;3;3;4;4;4;4;3;3;4;3;4;3;5;4;4;3;2
10430463173;4;4;4;5;3;3;4;2;3;5;5;4;4;4;5;4;4;4;4;4;4;5;4;4;4;4
10430461676;4;3;3;5;3;4;4;4;4;3;4;4;4;2;5;5;3;3;3;4;3;3;4;4;4;4
10430460750;5;5;4;4;5;5;4;4;3;4;5;4;4;4;5;4;4;4;4;5;4;3;4;5;4;4
10430456219;3;3;2;2;3;4;4;3;4;3;3;3;3;3;4;3;4;4;4;4;3;3;5;4;4;4
10430452312;5;5;5;5;4;4;4;3;4;5;5;4;5;4;5;5;4;4;4;4;4;4;5;5;5;5
10430450824;4;4;5;5;4;4;4;4;4;4;4;3;4;4;5;5;5;5;5;5;5;5;5;3;3;5
10430449367;2;3;3;3;3;5;3;1;2;2;4;2;4;2;5;2;2;2;2;4;2;4;3;3;3;4
10430448718;4;3;4;3;3;4;4;4;3;3;5;2;5;2;4;2;4;2;4;4;4;3;4;3;3;5
10430439285;4;4;5;5;3;5;4;5;4;3;4;3;5;3;5;3;5;5;5;4;3;4;5;5;5;5
10430432155;5;5;3;5;5;5;4;2;4;4;4;5;5;5;5;4;4;4;4;4;3;4;5;5;4;4
10430430687;3;4;4;5;2;3;2;2;3;3;3;2;4;2;5;4;4;4;3;3;3;2;4;2;4;3
10430428960;5;4;4;5;4;5;5;4;5;5;5;5;5;4;5;5;5;5;5;4;4;4;4;4;5;4
10430422428;4;4;5;2;4;4;4;3;3;3;3;3;4;4;5;2;4;3;3;3;3;3;4;4;5;4
10430421233;2;2;2;2;2;2;3;2;3;2;3;1;3;2;4;2;2;2;2;3;3;3;4;4;3;3
10430414322;4;4;5;4;4;5;4;3;3;3;5;4;5;4;5;4;4;5;4;5;5;4;3;5;4;4
10430413380;4;4;5;5;3;3;3;4;4;3;3;4;4;4;5;3;3;3;3;3;3;3;5;5;5;4
10430408078;4;4;2;3;4;5;4;3;4;3;4;5;4;3;3;4;4;4;4;4;3;4;5;5;5;5
10430407908;3;2;2;3;4;3;2;2;4;2;4;2;4;3;2;4;2;2;2;3;2;2;2;3;3;3
10430400675;4;4;5;5;3;4;5;3;3;3;2;3;5;4;5;5;4;4;4;4;5;2;3;3;3;5
10430400453;4;4;5;4;4;5;4;3;2;4;4;3;3;3;5;4;4;4;4;5;3;4;5;4;4;4
10430395107;5;4;5;5;4;4;4;4;4;4;4;4;4;4;5;4;4;4;5;5;4;5;4;4;4;4
10430390468;4;4;4;5;4;5;4;4;3;3;3;4;4;3;5;2;4;4;5;4;4;4;5;4;3;4
10430389142;5;5;5;4;3;4;4;4;4;4;4;3;4;4;5;5;5;5;5;4;4;4;5;4;2;5
10430388341;3;4;5;4;3;3;4;1;3;4;2;2;3;2;4;4;4;4;4;4;4;3;3;2;4;4
10430385336;3;2;2;3;3;4;4;3;3;3;3;1;3;3;4;3;3;4;3;3;2;3;2;3;3;4
10430381957;4;4;5;5;2;4;4;3;4;3;5;3;3;3;5;4;4;4;3;2;3;3;5;5;5;4
10430372223;4;4;5;4;4;5;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;5;5;4
10430369761;5;4;4;5;4;4;4;3;5;4;5;4;4;3;5;4;5;5;5;4;4;4;5;3;4;5
10430368985;4;5;4;4;4;5;4;4;4;3;4;4;4;4;5;4;4;4;4;4;5;4;5;5;3;4
10430365138;5;5;3;3;4;5;5;4;3;4;5;4;4;4;5;4;5;5;5;5;5;5;5;5;5;5
10430365103;4;3;5;5;4;5;5;5;4;4;4;5;5;5;4;2;4;4;4;3;3;4;4;5;5;3
10430362207;5;5;5;4;4;5;5;2;4;4;5;3;5;3;5;4;4;5;5;4;4;3;4;4;4;5
10430360124;4;4;4;4;4;4;4;3;4;4;4;3;4;4;5;4;4;4;5;4;4;4;4;4;5;4
10430359041;4;5;5;5;4;4;4;3;3;4;4;5;4;4;5;4;4;4;4;4;4;4;4;4;5;5
10430357633;4;4;5;4;4;5;4;4;3;4;5;4;4;4;5;3;4;5;4;5;3;5;3;4;4;4
10430354176;2;2;2;4;3;4;2;2;2;2;4;2;3;3;4;2;4;4;3;5;4;5;2;2;2;3
10430353901;4;4;2;4;4;4;4;3;4;4;3;2;4;3;5;5;3;3;5;4;3;5;4;4;4;4
10430353252;4;2;3;4;3;5;3;3;4;3;4;5;4;4;5;4;4;4;5;3;5;3;5;5;5;3
10430352862;5;5;4;4;4;4;4;4;4;4;5;3;4;4;5;4;4;4;4;4;4;4;4;4;4;4
10430352185;4;2;4;3;2;3;3;2;4;3;3;2;4;3;4;2;2;2;2;3;2;3;5;2;4;3
10430348866;3;3;3;4;2;3;2;2;3;3;4;3;4;2;5;2;3;3;2;3;3;3;2;2;3;2
10430348263;5;5;5;5;4;5;4;4;4;4;5;4;4;4;4;4;4;5;5;4;3;4;5;5;5;4
10430348177;2;1;4;3;2;3;3;2;3;1;3;1;4;1;4;4;2;4;2;4;2;3;3;2;4;4
10430347473;4;4;4;5;4;4;4;2;3;4;4;3;3;3;4;3;4;4;5;5;4;4;5;3;3;5
10430347233;3;4;5;4;3;4;3;2;3;4;5;3;4;2;5;3;3;3;4;2;2;3;4;2;5;4
10430347067;4;5;4;5;4;5;5;5;5;5;5;5;5;3;5;3;5;5;5;5;4;4;5;5;5;4
10430346079;1;2;2;3;2;1;3;1;1;2;2;2;2;1;2;2;2;2;2;2;2;3;2;2;2;1
10430345477;3;3;4;4;3;4;3;2;3;2;3;2;4;3;4;4;3;3;3;4;2;4;2;2;2;4
10430344757;4;5;5;5;4;4;4;3;4;4;4;4;3;4;4;4;4;4;4;4;5;4;4;4;4;5
10430344143;4;3;5;4;4;4;2;3;2;3;4;3;4;3;4;5;2;2;3;4;5;5;5;5;5;2
10430344049;4;2;3;4;3;4;2;1;4;2;2;3;5;3;2;2;2;2;3;4;3;3;4;5;2;3
