ID;criterion;value;detail
10420104041;dropout;NA;No valid responses in Q1-Q26
10420100657;dropout;NA;No valid responses in Q1-Q26
10420099305;dropout;NA;No valid responses in Q1-Q26
10420098738;dropout;NA;No valid responses in Q1-Q26
10420093235;dropout;NA;No valid responses in Q1-Q26
10420088169;dropout;NA;No valid responses in Q1-Q26
10420084662;dropout;NA;No valid responses in Q1-Q26
10420078480;dropout;NA;No valid responses in Q1-Q26
10420077333;dropout;NA;No valid responses in Q1-Q26
10420072635;dropout;NA;No valid responses in Q1-Q26
10420069669;dropout;NA;No valid responses in Q1-Q26
10420069217;dropout;NA;No valid responses in Q1-Q26
10420064208;dropout;NA;No valid responses in Q1-Q26
10420059119;dropout;NA;No valid responses in Q1-Q26
10420056075;dropout;NA;No valid responses in Q1-Q26
10420053505;dropout;NA;No valid responses in Q1-Q26
10420047263;dropout;NA;No valid responses in Q1-Q26
10416885309;dropout;NA;No valid responses in Q1-Q26
10414980197;dropout;NA;No valid responses in Q1-Q26
10414708736;dropout;NA;No valid responses in Q1-Q26
10413224690;dropout;NA;No valid responses in Q1-Q26
10411759694;dropout;NA;No valid responses in Q1-Q26
10410129189;dropout;NA;No valid responses in Q1-Q26
10409250535;dropout;NA;No valid responses in Q1-Q26
10408441238;dropout;NA;No valid responses in Q1-Q26
10406909426;dropout;NA;No valid responses in Q1-Q26
10406049401;dropout;NA;No valid responses in Q1-Q26
10405073507;dropout;NA;No valid responses in Q1-Q26
10401798412;dropout;NA;No valid responses in Q1-Q26
10401087832;dropout;NA;No valid responses in Q1-Q26
10401023863;dropout;NA;No valid responses in Q1-Q26
10401008003;dropout;NA;No valid responses in Q1-Q26
10400933467;dropout;NA;No valid responses in Q1-Q26
10400890335;dropout;NA;No valid responses in Q1-Q26
10399843773;dropout;NA;No valid responses in Q1-Q26
10399537113;dropout;NA;No valid responses in Q1-Q26
10399325814;dropout;NA;No valid responses in Q1-Q26
10399267345;dropout;NA;No valid responses in Q1-Q26
10399135413;dropout;NA;No valid responses in Q1-Q26
10399006225;dropout;NA;No valid responses in Q1-Q26
10398801966;dropout;NA;No valid responses in Q1-Q26
10398617908;dropout;NA;No valid responses in Q1-Q26
10398536434;dropout;NA;No valid responses in Q1-Q26
10398505794;dropout;NA;No valid responses in Q1-Q26
10398406368;dropout;NA;No valid responses in Q1-Q26
10398075010;dropout;NA;No valid responses in Q1-Q26
10397802959;dropout;NA;No valid responses in Q1-Q26
10397178879;dropout;NA;No valid responses in Q1-Q26
10397115674;dropout;NA;No valid responses in Q1-Q26
10397050271;dropout;NA;No valid responses in Q1-Q26
10397029406;dropout;NA;No valid responses in Q1-Q26
10396966894;dropout;NA;No valid responses in Q1-Q26
10396949049;dropout;NA;No valid responses in Q1-Q26
10396934305;dropout;NA;No valid responses in Q1-Q26
10396927498;dropout;NA;No valid responses in Q1-Q26
10396891056;dropout;NA;No valid responses in Q1-Q26
10396862235;dropout;NA;No valid responses in Q1-Q26
10396857315;dropout;NA;No valid responses in Q1-Q26
10396777426;dropout;NA;No valid responses in Q1-Q26
10396774848;dropout;NA;No valid responses in Q1-Q26
10396767377;dropout;NA;No valid responses in Q1-Q26
10396738003;dropout;NA;No valid responses in Q1-Q26
10396722542;dropout;NA;No valid responses in Q1-Q26
10396683246;dropout;NA;No valid responses in Q1-Q26
10396593780;dropout;NA;No valid responses in Q1-Q26
10396577423;dropout;NA;No valid responses in Q1-Q26
10396566777;dropout;NA;No valid responses in Q1-Q26
10396554555;dropout;NA;No valid responses in Q1-Q26
10396474957;dropout;NA;No valid responses in Q1-Q26
10396399838;dropout;NA;No valid responses in Q1-Q26
10396396066;dropout;NA;No valid responses in Q1-Q26
10396339214;dropout;NA;No valid responses in Q1-Q26
10396300749;dropout;NA;No valid responses in Q1-Q26
10396297713;dropout;NA;No valid responses in Q1-Q26
10396268119;dropout;NA;No valid responses in Q1-Q26
10396253850;dropout;NA;No valid responses in Q1-Q26
10396236036;dropout;NA;No valid responses in Q1-Q26
10396231038;dropout;NA;No valid responses in Q1-Q26
10396221611;dropout;NA;No valid responses in Q1-Q26
10396214208;dropout;NA;No valid responses in Q1-Q26
10396201628;dropout;NA;No valid responses in Q1-Q26
10396200306;dropout;NA;No valid responses in Q1-Q26
10396199352;dropout;NA;No valid responses in Q1-Q26
10396199347;dropout;NA;No valid responses in Q1-Q26
10396198463;dropout;NA;No valid responses in Q1-Q26
10396167665;dropout;NA;No valid responses in Q1-Q26
10396130952;dropout;NA;No valid responses in Q1-Q26
10396118854;dropout;NA;No valid responses in Q1-Q26
10396115878;dropout;NA;No valid responses in Q1-Q26
10396108400;dropout;NA;No valid responses in Q1-Q26
10396102352;dropout;NA;No valid responses in Q1-Q26
10396100093;dropout;NA;No valid responses in Q1-Q26
10396092657;dropout;NA;No valid responses in Q1-Q26
10396074274;dropout;NA;No valid responses in Q1-Q26
10396072210;dropout;NA;No valid responses in Q1-Q26
10396067035;dropout;NA;No valid responses in Q1-Q26
10396066732;dropout;NA;No valid responses in Q1-Q26
10396065905;dropout;NA;No valid responses in Q1-Q26
10396060797;dropout;NA;No valid responses in Q1-Q26
10396058166;dropout;NA;No valid responses in Q1-Q26
10396056772;dropout;NA;No valid responses in Q1-Q26
10396056258;dropout;NA;No valid responses in Q1-Q26
10396055145;dropout;NA;No valid responses in Q1-Q26
10396040630;dropout;NA;No valid responses in Q1-Q26
10396039986;dropout;NA;No valid responses in Q1-Q26
10396038673;dropout;NA;No valid responses in Q1-Q26
10396033114;dropout;NA;No valid responses in Q1-Q26
10396030439;dropout;NA;No valid responses in Q1-Q26
10391151287;dropout;NA;No valid responses in Q1-Q26
10388372669;dropout;NA;No valid responses in Q1-Q26
10388365944;dropout;NA;No valid responses in Q1-Q26
10381983851;dropout;NA;No valid responses in Q1-Q26
10375463638;dropout;NA;No valid responses in Q1-Q26
10373410259;dropout;NA;No valid responses in Q1-Q26
10373287682;dropout;NA;No valid responses in Q1-Q26
10372831804;dropout;NA;No valid responses in Q1-Q26
10433720363;qc_fails;2;QC fails = 2
10431697839;qc_fails;2;QC fails = 2
10431620977;qc_fails;2;QC fails = 2
10431585916;qc_fails;2;QC fails = 2
10430636534;qc_fails;2;QC fails = 2
10430333119;qc_fails;2;QC fails = 2
10425137653;qc_fails;2;QC fails = 2
10421648304;qc_fails;3;QC fails = 3
10420361867;qc_fails;2;QC fails = 2
10420334107;qc_fails;2;QC fails = 2
10420128317;qc_fails;3;QC fails = 3
10420116506;qc_fails;2;QC fails = 2
10420073927;qc_fails;2;QC fails = 2
10420052989;qc_fails;2;QC fails = 2
10412064535;qc_fails;2;QC fails = 2
10411192567;qc_fails;2;QC fails = 2
10398652859;qc_fails;3;QC fails = 3
10398018740;qc_fails;2;QC fails = 2
10397847689;qc_fails;2;QC fails = 2
10397183089;qc_fails;2;QC fails = 2
10396762951;qc_fails;2;QC fails = 2
10396633032;qc_fails;2;QC fails = 2
10396127252;qc_fails;3;QC fails = 3
10396116188;qc_fails;3;QC fails = 3
10396077748;qc_fails;2;QC fails = 2
10396067386;qc_fails;2;QC fails = 2
10376702812;qc_fails;2;QC fails = 2
10372568914;qc_fails;3;QC fails = 3
10431811967;excessive_missings;6;Missings in Q1-Q26 = 6
10421337228;excessive_missings;12;Missings in Q1-Q26 = 12
10420954641;excessive_missings;7;Missings in Q1-Q26 = 7
